quarter,town,flat_type,median_rent
2017-Q3,ANG MO KIO,1-RM,na
2017-Q3,ANG MO KIO,2-RM,-
2017-Q3,ANG MO KIO,3-RM,1700
2017-Q3,ANG MO KIO,4-RM,2200
2017-Q3,ANG MO KIO,5-RM,2450
2017-Q3,ANG MO KIO,EXEC,-
2017-Q3,BEDOK,1-RM,na
2017-Q3,BEDOK,2-RM,-
2017-Q3,BEDOK,3-RM,1700
2017-Q3,BEDOK,4-RM,2100
2017-Q3,BEDOK,5-RM,2300
2017-Q3,BEDOK,EXEC,2500
2017-Q3,BISHAN,1-RM,na
2017-Q3,BISHAN,2-RM,na
2017-Q3,BISHAN,3-RM,1900
2017-Q3,BISHAN,4-RM,2300
2017-Q3,BISHAN,5-RM,2600
2017-Q3,BISHAN,EXEC,-
2017-Q3,BUKIT BATOK,1-RM,na
2017-Q3,BUKIT BATOK,2-RM,na
2017-Q3,BUKIT BATOK,3-RM,1600
2017-Q3,BUKIT BATOK,4-RM,2000
2017-Q3,BUKIT BATOK,5-RM,2200
2017-Q3,BUKIT BATOK,EXEC,2350
2017-Q3,BUKIT MERAH,1-RM,-
2017-Q3,BUKIT MERAH,2-RM,1600
2017-Q3,BUKIT MERAH,3-RM,2000
2017-Q3,BUKIT MERAH,4-RM,2600
2017-Q3,BUKIT MERAH,5-RM,2800
2017-Q3,BUKIT MERAH,EXEC,na
2017-Q3,BUKIT PANJANG,1-RM,na
2017-Q3,BUKIT PANJANG,2-RM,-
2017-Q3,BUKIT PANJANG,3-RM,1550
2017-Q3,BUKIT PANJANG,4-RM,1750
2017-Q3,BUKIT PANJANG,5-RM,1850
2017-Q3,BUKIT PANJANG,EXEC,1990
2017-Q3,BUKIT TIMAH,1-RM,na
2017-Q3,BUKIT TIMAH,2-RM,na
2017-Q3,BUKIT TIMAH,3-RM,-
2017-Q3,BUKIT TIMAH,4-RM,-
2017-Q3,BUKIT TIMAH,5-RM,-
2017-Q3,BUKIT TIMAH,EXEC,-
2017-Q3,CENTRAL,1-RM,na
